LocationName,Polygon,Polygon_coords,total_messages,total_devices,latency_messages,latency_devices,latency_messages_ratio,latency_device_ratio,device_ids,latency_device_ids,severity
AEZXH-TJB,"25.021827,55.043604,25.026634,55.072058,25.023216,55.073561,25.020104,55.070525,25.016492,55.049767,25.019132,55.048816,25.020021,55.046363,25.019493,55.044156,25.021827,55.043604","[[25.021827, 55.043604], [25.026634, 55.072058], [25.023216, 55.073561], [25.020104, 55.070525], [25.016492, 55.049767], [25.019132, 55.048816], [25.020021, 55.046363], [25.019493, 55.044156], [25.021827, 55.043604]]",0,0,0,0,0.0,0.0,,,-0.0
AEZXH-TJC,"24.997425,55.048476,24.981335,55.054790,24.980629,55.053150,24.981149,55.050321,24.991703,55.044991,24.991145,55.043146,24.994341,55.042859,24.997425,55.048476","[[24.997425, 55.048476], [24.981335, 55.05479], [24.980629, 55.05315], [24.981149, 55.050321], [24.991703, 55.044991], [24.991145, 55.043146], [24.994341, 55.042859], [24.997425, 55.048476]]",0,0,0,0,0.0,0.0,,,-0.0
AEZXH-TJD,"25.034368,55.038720,25.038083,55.060654,25.032659,55.060859,25.029204,55.041344,25.034368,55.038720","[[25.034368, 55.03872], [25.038083, 55.060654], [25.032659, 55.060859], [25.029204, 55.041344], [25.034368, 55.03872]]",0,0,0,0,0.0,0.0,,,-0.0
AGSJH-TSJ,"17.126103,-61.852556,17.124885,-61.852716,17.125136,-61.853972,17.124964,-61.854081,17.124976,-61.854305,17.124872,-61.854350,17.125589,-61.857753,17.126226,-61.857618,17.125944,-61.856510,17.125987,-61.856241,17.125730,-61.854747,17.126103,-61.852556","[[17.126103, -61.852556], [17.124885, -61.852716], [17.125136, -61.853972], [17.124964, -61.854081], [17.124976, -61.854305], [17.124872, -61.85435], [17.125589, -61.857753], [17.126226, -61.857618], [17.125944, -61.85651], [17.125987, -61.856241], [17.12573, -61.854747], [17.126103, -61.852556]]",0,0,0,0,0.0,0.0,,,-0.0
ALDRR-TDR,"41.315357,19.452524,41.315002,19.453679,41.307214,19.449374,41.302382,19.454492,41.302284,19.452445,41.306878,19.447143,41.315357,19.452524","[[41.315357, 19.452524], [41.315002, 19.453679], [41.307214, 19.449374], [41.302382, 19.454492], [41.302284, 19.452445], [41.306878, 19.447143], [41.315357, 19.452524]]",0,0,0,0,0.0,0.0,,,-0.0
ARBUE-DGL,"-34.578108,-58.394387,-34.578314,-58.394377,-34.579987,-58.390896,-34.578413,-58.390486,-34.578503,-58.391995,-34.578108,-58.394387","[[-34.578108, -58.394387], [-34.578314, -58.394377], [-34.579987, -58.390896], [-34.578413, -58.390486], [-34.578503, -58.391995], [-34.578108, -58.394387]]",454,12,20,2,4.4,16.7,"['A0000539', 'A0001150', 'A0002060', 'A0002489', 'A0003045', 'A0003123', 'A0003625', 'A0003745', 'A0003859', 'A0004078', 'A0004645', 'A0006269']","['A0002060', 'A0006269']",5.8
ARBUE-DGL2,"-34.585045,-58.384680,-34.587200,-58.381000,-34.588003,-58.381800,-34.587979,-58.382600,-34.586602,-58.384695,-34.584279,-58.385887,-34.585045,-58.384680","[[-34.585045, -58.38468], [-34.5872, -58.381], [-34.588003, -58.3818], [-34.587979, -58.3826], [-34.586602, -58.384695], [-34.584279, -58.385887], [-34.585045, -58.38468]]",9,1,0,0,0.0,0.0,['A0000876'],,0.0
ARBUE-DHP,"-34.660257,-58.339173,-34.660316,-58.334991,-34.662540,-58.335346,-34.662507,-58.339288,-34.663428,-58.339526,-34.663713,-58.340804,-34.665103,-58.341053,-34.665097,-58.342626,-34.663658,-58.342496,-34.663639,-58.341048,-34.663349,-58.339663,-34.660257,-58.339173","[[-34.660257, -58.339173], [-34.660316, -58.334991], [-34.66254, -58.335346], [-34.662507, -58.339288], [-34.663428, -58.339526], [-34.663713, -58.340804], [-34.665103, -58.341053], [-34.665097, -58.342626], [-34.663658, -58.342496], [-34.663639, -58.341048], [-34.663349, -58.339663], [-34.660257, -58.339173]]",1300,17,21,2,1.6,11.8,"['A0000871', 'A0001415', 'A0001787', 'A0002376', 'A0002813', 'A0002951', 'A0003375', 'A0004334', 'A0004586', 'A0004695', 'A0004756', 'A0004776', 'A0004798', 'A0005666', 'A0005713', 'A0005753', 'A0006315']","['A0002813', 'A0004334']",4.3
ARBUE-DHP2,"-34.749738,-58.186322,-34.752364,-58.182578,-34.754105,-58.184527,-34.751405,-58.188010,-34.749738,-58.186322","[[-34.749738, -58.186322], [-34.752364, -58.182578], [-34.754105, -58.184527], [-34.751405, -58.18801], [-34.749738, -58.186322]]",104,2,6,1,5.8,50.0,"['A0004798', 'A0006269']",['A0004798'],9.5
ARBUE-TAP,"-34.578679,-58.374343,-34.578171,-58.367815,-34.579717,-58.365347,-34.580159,-58.365221,-34.580630,-58.371052,-34.581755,-58.368946,-34.582408,-58.371156,-34.580423,-58.374537,-34.579235,-58.373600,-34.578679,-58.374343","[[-34.578679, -58.374343], [-34.578171, -58.367815], [-34.579717, -58.365347], [-34.580159, -58.365221], [-34.58063, -58.371052], [-34.581755, -58.368946], [-34.582408, -58.371156], [-34.580423, -58.374537], [-34.579235, -58.3736], [-34.578679, -58.374343]]",1031,39,122,11,11.8,28.2,"['A0000539', 'A0000722', 'A0000871', 'A0000876', 'A0000880', 'A0001121', 'A0001150', 'A0001371', 'A0001415', 'A0001787', 'A0002060', 'A0002489', 'A0002490', 'A0002542', 'A0002817', 'A0003045', 'A0003123', 'A0003375', 'A0003666', 'A0003702', 'A0003745', 'A0003859', 'A0004078', 'A0004146', 'A0004334', 'A0004462', 'A0004586', 'A0004645', 'A0004695', 'A0004756', 'A0004776', 'A0004798', 'A0005373', 'A0005666', 'A0005713', 'A0005744', 'A0005753', 'A0006269', 'A0006315']","['A0001371', 'A0002060', 'A0002489', 'A0002490', 'A0002542', 'A0003702', 'A0003859', 'A0004334', 'A0004645', 'A0004756', 'A0005744']",13.5
